日期,會員級別,會員積分,款式,評論
2018年02月18日 12:30,b_blue_3,1061,颜色分类:白色,收到?加评补晒图?送朋友孩子的，非常不错非常棒天猫精灵???设置还要教他们一下，使用让他们慢慢研究了?"}],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"小***手","vipLevel":6,"displayRatePic":"b_blue_3.gif","nickUrl":"","anony":false,"rank":1322,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmQ0MCNyPG-zM0g4MmI0Pm-IPkRzMGMHM0*HOmMHMGNL&width=40&height=40&type=sns","vip":"b_red_1.gif","userId":"","rankUrl":""},"append":{"vicious":"","appendId":341100827552,"show":true,"videos":[],"reply":null,"dayAfterConfirm":0,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i4/0/TB2iHrNahGYBuNjy0FnXXX5lpXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i4/0/TB2iHrNahGYBuNjy0FnXXX5lpXa_!!0-rate.jpg_400x400.jpg","fileId":1756306198911345764,"receiveId":341100827552,"status":1},{"thumbnail":"//img.alicdn.com/imgextra/i3/0/TB2FEbBahSYBuNjSsphXXbGvVXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i3/0/TB2FEbBahSYBuNjSsphXXbGvVXa_!!0-rate.jpg_400x400.jpg","fileId":1756306199385621053,"receiveId":341100827552,"status":1},{"thumbnail":"//img.alicdn.com/imgextra/i1/0/TB2c9fJaeySBuNjy1zdXXXPxFXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i1/0/TB2c9fJaeySBuNjy1zdXXXPxFXa_!!0-rate.jpg_400x400.jpg","fileId":1756306200643694723,"receiveId":341100827552,"status":1},{"thumbnail":"//img.alicdn.com/imgextra/i2/0/TB2WPfIakCWBuNjy0FaXXXUlXXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i2/0/TB2WPfIakCWBuNjy0FaXXXUlXXa_!!0-rate.jpg_400x400.jpg","fileId":1756306200643854275,"receiveId":341100827552,"status":1}],"content":"收到?加评补晒图?送朋友孩子的，非常不错非常棒天猫精灵???设置还要教他们一下，使用让他们慢慢研究了?"},"status":0},{"date":"2018年02月18日 12:30","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i4/0/TB2i5kuakSWBuNjSszdXXbeSpXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i4/0/TB2i5kuakSWBuNjSszdXXbeSpXa_!!0-rate.jpg_400x400.jpg","fileId":1888606200248474909,"receiveId":341170439985,"status":1},{"thumbnail":"//img.alicdn.com/imgextra/i4/0/TB2BBzXXqAoBKNjSZSyXXaHAVXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i4/0/TB2BBzXXqAoBKNjSZSyXXaHAVXa_!!0-rate.jpg_400x400.jpg","fileId":1888606200248650388,"receiveId":341170439985,"status":1}],"content":"很好，很智能，识别率挺高的，孩子很喜欢，没事就跟他聊两句?
2018年02月15日 14:38,b_red_5,166,颜色分类:黑色,使用了几天，天猫精灵还是比较灵活的，很方便，想要听歌，交话费还有控制家电的功能都有，非常喜欢～
2018年02月11日 16:03,b_blue_1,487,颜色分类:黑色,太听话了 爽 哈哈哈哈 好评
2018年02月13日 17:54,b_red_4,108,颜色分类:黑色,东西不错，这是第二个了。正好赶上过年，送人的不二选择。
2018年02月12日 18:31,b_blue_2,560,颜色分类:白色,已经测试了，可以使用！然后把移动电源也装上去了。发现了一个很好玩的事情。可以把天猫精灵带到外面去玩，连上手机的热点。也可以控制家里的家电。
2018年02月18日 16:32,b_blue_1,453,颜色分类:白色,宝贝非常好，物流1天就到了，迫不及待的用了下功能，朋友说来玩玩看，喜欢的话也拍一个。
2018年02月18日 12:55,b_red_5,155,颜色分类:白色,顺丰过年都不休，2天到货，非常不错，音质很好，还有智能语音，功能这些还要多摸索一下，总体不错，好评
2018年02月14日 22:06,b_blue_2,755,颜色分类:黑色,全家都喜欢，特别我家宝宝一直拿着不放。想听什么歌就听什么歌！
2018年02月07日 19:11,b_red_4,113,颜色分类:白色,同事介绍的，特意用了一段时间才来评价，专门给老婆用来听歌的，很方便，音质也不错，每天还可以查询天气，对于冬天喜欢窝在被窝里的朋友来说，是个不错的选择。
2018年02月18日 20:47,b_blue_1,418,颜色分类:白色,东西很好  功能研究中 后期在慢慢添置配套只能设备
2018年02月12日 09:57,b_blue_2,552,颜色分类:黑色,好饭不怕晚玩，虽然这次顺丰不太给力，但是，天猫精灵确实好玩，黑色的很好看，不错，音质不错，提醒功能太棒了，有时候做饭忘了关火，这次有人提醒了，资源也比较丰富，不错，准备再买一台。
2018年02月18日 16:43,b_blue_3,1139,颜色分类:黑色,很期待&hellip;&hellip;果然没失望噢！非常有趣儿童伴侣。。非常感谢客服的耐心（有很多不懂，客服都很耐心）买了2赠品但就差个移动电源了??
2018年02月13日 13:44,b_blue_4,3001,颜色分类:白色,孩子超级喜欢，每天抱着它交流沟通，问成语背古诗，出难题，昨天妈妈生日，还唱了生日歌和祝福语呢！真不错
2018年02月10日 22:45,b_blue_3,1274,颜色分类:黑色,款式还不错 但是功能需要加强 比如说 没有猜灯谜的游戏 问治疗咳嗽的食谱 没有食谱建议，搜索的音乐 音质有些差&hellip;其他都还不错
2018年02月12日 18:14,b_blue_3,1884,颜色分类:黑色,买了个黑色，蛮上档次的，发现亮灯时比白色好看，功能也好用，
2018年02月13日 17:36,b_red_5,250,颜色分类:白色,太智能了，孩子特别喜欢，希望歌曲再能多一点
2018年02月15日 15:40,b_blue_3,1108,颜色分类:白色,收到东东马上就用了是正品非常好玩的一个产品期待店家多点优惠活动
2018年01月31日 17:54,b_blue_4,2691,颜色分类:白色,真好，这个价格挺优惠的，毕竟官网的优惠券抢不到，对比来看，卖家的价格真不错，宝贝也特别好，终于满足了孩子的愿望，玩了一天接着又订了两台，送朋友的。从烟台来北京都随身带着，可见我们有多喜欢了
2018年02月11日 12:51,b_blue_1,398,颜色分类:白色,首先澄清一下我不是托。天猫精灵先是买了一个音响效果出乎意料的好。而且还很好玩。所以加单了好多好多个。真的太好了。智能科技改变生活。不错不错。五星好评不够！
2018年02月16日 14:23,b_red_5,161,颜色分类:黑色,快递给力天猫精灵陪过年&hellip;&hellip;好东西值得拥有?
2018年02月11日 12:53,b_blue_1,398,颜色分类:白色,音响效果很好。炒鸡只能。随便一首歌都能马上播放。甚至哼出曲子都可以播放。操作也很简单。和孩子们玩，送老人都太好了。赞赞赞
2018年02月13日 20:45,b_red_4,126,颜色分类:黑色,宝贝终于到了，很棒，很听话。功能特别强大。关键是物流也服务很好。过年的都没休息。大赞！！??
2018年02月18日 16:20,b_blue_4,2249,颜色分类:白色,很有意思的电子产品，再买一个给朋友孩子！！
2018年02月17日 19:06,b_red_4,95,颜色分类:黑色,非常棒的宝贝哦、最开始有一点点网络的问题 但是客服人员很完美的解决了^_^
2018年02月13日 12:59,b_red_5,216,颜色分类:白色,很好很强大，识别准确，内容丰富。
2018年02月15日 22:41,b_blue_3,1232,颜色分类:白色,本来准备买小艾，但是一直脱货，才买的天猫精灵！真的很好
2018年02月11日 14:12,b_red_5,162,颜色分类:黑色,很好玩的小精灵 音质也不错? 最好的是做菜的时候 可以随心换音乐 外加可以计时 提醒腌制 烹饪时间
2018年02月17日 20:28,b_blue_2,922,颜色分类:黑色,天猫精灵很不错，相当智能科技，现在科技真是太方便了
2018年02月07日 22:14,b_blue_1,354,颜色分类:黑色,用了一段时间了，音质不错、语音接受也灵敏、孩子学习也能帮上忙算是个语音小百科，不过也会有答不上的，总的来说是物超所值！
2018年02月12日 19:51,b_blue_3,1182,颜色分类:黑色,之前因为晚上谁关灯的问题总和孩子剪刀石头布决胜负。有了天猫精灵，终于可以安心睡觉了。宝贝特别喜欢天猫精灵，已经自己问了半天问题了。
2018年02月12日 18:08,b_blue_3,1884,颜色分类:白色,东西不错，按照说明书操作方便，反应很灵敏，语音听着也舒服。
2018年02月13日 14:32,b_blue_1,267,颜色分类:白色,早上叫停闹钟后，还会贴心提醒穿适合的衣服，?
2018年02月11日 18:20,b_blue_1,253,颜色分类:白色,好宝贝，天猫精灵比官网要便宜很多，确定是真品，一入手就爱不释手，性价比很高，很不错?
2018年02月18日 11:29,b_blue_3,1101,颜色分类:黑色,大过年的也没休息，两天就到了，迫不及待就玩了，信息量很大，很好玩
2018年02月13日 20:04,b_red_2,32,颜色分类:黑色,不错，我家的路由器是中国电信送的，后来更换了一个磊科路由器就搞定了
2018年02月18日 16:59,b_blue_2,536,颜色分类:黑色,宝贝已经收到，不错，还在琢磨琢磨这样更好的使用
2018年02月15日 17:42,b_red_5,169,颜色分类:白色,宝贝很不错，很智能，只用说话就行了，一家人都很喜欢
2018年02月17日 11:10,b_blue_1,456,颜色分类:白色,智慧与美貌并存，温柔且不失刚毅。
2018年02月08日 12:58,b_blue_3,1088,颜色分类:白色,此用户没有填写评价。
2018年02月14日 21:40,b_blue_1,399,颜色分类:白色,音箱不错，孩子很喜欢！"}],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"y***g","vipLevel":6,"displayRatePic":"b_blue_3.gif","nickUrl":"","anony":false,"rank":1088,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=Xmhzv8xLX8cbP0lhOmcSPmcLOH8LPG80XFR-P8c4PGv4XFIGOHZHPC80MGQWO8Z-&width=40&height=40&type=sns","vip":"b_red_1.gif","userId":"","rankUrl":""},"append":{"vicious":"","appendId":341177312883,"show":true,"videos":[],"reply":null,"dayAfterConfirm":10,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i2/0/TB2L76vXBsmBKNjSZFsXXaXSVXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i2/0/TB2L76vXBsmBKNjSZFsXXaXSVXa_!!0-rate.jpg_400x400.jpg","fileId":1825906198884096057,"receiveId":341177312883,"status":1},{"thumbnail":"//img.alicdn.com/imgextra/i2/0/TB2bBUzagaTBuNjSszfXXXgfpXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i2/0/TB2bBUzagaTBuNjSszfXXXgfpXa_!!0-rate.jpg_400x400.jpg","fileId":1825906200256541333,"receiveId":341177312883,"status":1}],"content":"音箱不错，孩子很喜欢！"},"status":0},{"date":"2018年02月14日 21:40","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i2/0/TB2LuobamtYBeNjSspaXXaOOFXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i2/0/TB2LuobamtYBeNjSspaXXaOOFXa_!!0-rate.jpg_400x400.jpg","fileId":1501906199728619934,"receiveId":340916030407,"status":1}],"content":"挺不错，识别度挺高的
2018年02月17日 19:02,b_red_5,204,颜色分类:白色,不错不错可以加入更好的功能比如周边美食之类的推荐，歌曲版权希望和大一点的音乐公司合作，虾米太少了新歌没有。收音机功能如果能结合当地就好了都是外地的
2018年02月14日 14:52,b_red_5,164,颜色分类:黑色,宝贝很好，很神奇，功能很强大～～～值得入手一个～
2018年02月16日 10:30,b_blue_3,1521,颜色分类:白色,非常有趣的宝贝，家里的新宠！
2018年02月13日 15:33,b_red_4,118,颜色分类:白色,宝贝已收到，女儿非常喜欢。
2018年02月18日 18:40,b_red_2,33,颜色分类:黑色,嗯(⊙_⊙)，蛮满意的。功能还是可以的。
2018年02月14日 19:16,b_blue_3,1262,颜色分类:黑色,很方便很好用，这个产品一定会很火的。。。
2018年02月08日 12:38,b_red_3,47,颜色分类:白色,两台宝贝收到，包装精美，高大上 送人有面子
2018年02月13日 12:39,b_blue_1,482,颜色分类:白色,此用户没有填写评价。
2018年02月17日 21:38,b_red_4,101,颜色分类:白色,精灵刚收到，用一段时间再来评论"}],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"z***2","vipLevel":0,"displayRatePic":"b_blue_1.gif","nickUrl":"","anony":false,"rank":482,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vGNuOHcWv88YXF-HPmvbM0x0MmQWPCZzv0kyPFleX8gbv0QyMCc4XmgyPkZevGhI&width=40&height=40&type=sns","vip":"","userId":"","rankUrl":""},"append":{"vicious":"","appendId":340855178720,"show":true,"videos":[],"reply":null,"dayAfterConfirm":0,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i1/0/TB2a6LaaoR1BeNjy0FmXXb0wVXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i1/0/TB2a6LaaoR1BeNjy0FmXXb0wVXa_!!0-rate.jpg_400x400.jpg","fileId":1959406198683218084,"receiveId":340855178720,"status":1}],"content":"精灵刚收到，用一段时间再来评论"},"status":0},{"date":"2018年02月17日 21:38","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i4/0/TB2o9gaah1YBuNjy1zcXXbNcXXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i4/0/TB2o9gaah1YBuNjy1zcXXbNcXXa_!!0-rate.jpg_400x400.jpg","fileId":1687606199786136032,"receiveId":341132554596,"status":1}],"content":"非常给力，好用，服务周到，5星好评！
2018年02月10日 23:47,b_red_5,170,颜色分类:黑色,真的非常棒  孩子非常喜欢   有事没事总叫天猫精灵 给我们家庭带来很多欢乐
2018年02月07日 14:27,b_red_5,213,颜色分类:黑色,东西挺不错的 值得购买 放音乐的音质很不错 这个价格真的是太划算了
2018年02月14日 23:31,b_blue_2,644,颜色分类:白色,好玩，一家子都抢着逗天猫精灵
2018年01月23日 20:58,b_blue_1,379,颜色分类:白色,宝贝已收到，比想象中的小，大小刚好。音质很好，反应也很快，值得购买。发货快，快递包装贴心，比一般的纸箱厚很多，这样的卖家，才能让人买的放心。
2018年02月17日 19:44,b_blue_3,1291,颜色分类:白色,比想象中要好，继续探索新功能中
2018年02月09日 18:50,b_red_2,30,颜色分类:白色,非常好，非常好，非常好玩，打算再买其他东西和这个精灵搭配，弄出一个智能化书房。
2018年02月14日 09:04,b_red_4,94,颜色分类:黑色,音效不错 收音挺好  就是不能回答的问题有点多
2018年02月14日 11:58,b_blue_1,338,颜色分类:白色,比我想象中的满意的多，特别喜欢！！！
2018年02月11日 10:33,b_red_5,170,颜色分类:白色,东西不错  给朋友买的  朋友家里评价很高  小朋友特别喜欢  送礼  最好的  没毛病
2018年01月20日 16:04,b_blue_2,895,颜色分类:黑色,非常好，特别喜欢！新年礼物送人一定很高大上，所以我又买了两台准备送人
2018年02月13日 09:25,b_blue_3,1519,颜色分类:黑色,买了好几次 可以
2018年02月17日 11:16,b_red_4,114,颜色分类:黑色,东西不错，挺好的！卖家服务态度很好，下次还来光顾！
2018年02月16日 10:28,b_red_3,57,颜色分类:白色,此用户没有填写评价。
2018年02月14日 15:15,b_blue_2,807,颜色分类:白色,很小 很方便 娃儿很喜欢"}],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"吴***l","vipLevel":0,"displayRatePic":"b_red_3.gif","nickUrl":"","anony":false,"rank":57,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmcyPGRevC8yMHlIPFRHPm-IMH*-XmvyPG9Iv8Z-Mmxb&width=40&height=40&type=sns","vip":"","userId":"","rankUrl":""},"append":{"vicious":"","appendId":341071213164,"show":true,"videos":[],"reply":null,"dayAfterConfirm":0,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i2/0/TB2eo9RXzQnBKNjSZSgXXXHGXXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i2/0/TB2eo9RXzQnBKNjSZSgXXXHGXXa_!!0-rate.jpg_400x400.jpg","fileId":1458206199832726516,"receiveId":341071213164,"status":1}],"content":"很小 很方便 娃儿很喜欢"},"status":0},{"date":"2018年02月14日 15:15","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i1/0/TB2tf1oaeOSBuNjy0FdXXbDnVXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i1/0/TB2tf1oaeOSBuNjy0FdXXbDnVXa_!!0-rate.jpg_400x400.jpg","fileId":1934206198684176562,"receiveId":340982463560,"status":1}],"content":"非常喜欢，部门人手一个，棒棒哒?
2018年02月07日 21:07,b_blue_1,293,颜色分类:白色,小孩子们很喜欢玩得很开心，音质很好，功能强大
2018年02月09日 01:42,b_blue_4,2052,颜色分类:白色,终于收到天猫精灵了，连接操作真的是超简单的，直接和天猫精灵对话好有趣，听歌晓天气好方便。
2018年02月11日 16:49,b_blue_2,515,颜色分类:黑色,功能强大，我们一家，只要回家都叫它，准备在买几个送亲戚朋友！
2018年02月09日 16:07,b_red_2,28,颜色分类:黑色,宝贝很棒，基本功能和描述的一样，用起来很顺。
2018年02月09日 16:16,b_red_3,69,颜色分类:白色,非常好，老婆很喜欢，希望后面升级更多的功能！ 内容部分相对于百度的产品要少了类似于百度百科这块。相信阿里的研发团队和阿里生态的资源，天猫精灵会变得越来越智能。 Ai+iot越来越有意思了，未来已来，朋友们也来体验下吧！
2018年02月13日 09:25,b_blue_3,1519,颜色分类:白色,买了好几个用来抽奖 不错
2018年02月12日 17:49,b_red_2,37,颜色分类:白色,有小插曲，但是马上得以解决，值得信赖的卖家。底座加天猫精灵，移动方便，设计感也很好。
2018年02月12日 17:25,b_blue_2,611,颜色分类:黑色,确实不错，很喜欢，还在慢慢学习中。看看是不是真的会自我学习，哈哈。
2018年02月13日 16:27,b_blue_2,975,颜色分类:白色,非常感谢
2018年02月09日 10:57,b_blue_2,529,颜色分类:白色,包装完好无损，非常好的卖家！这次给女儿买的，下次给我自己
2018年02月15日 00:27,","nickUrl":"","anony":false,"rank":3,"avatar":"//wwc.alicdn.com/avatar/getAvatar.do?userIdStr=vFkSPFHuXH*evF8LPmHSXmNSOFILXmcyMCRIP0ZhP87HXFkGXm8WvCcSMkPhOmxb&width=40&height=40&type=sns","vip":"b_red_1.gif","userId":"","rankUrl":""},"append":null,"status":0},{"date":"2018年02月16日 19:13","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[],"content":"丰常棒的玩意儿，功能很全。孩子很喜欢，有了它，孩子电视都不看了！","rateId":341101556627,"spuRatting":[],"auction":{"thumbnail":"","link":"//item.taobao.com/item.htm?id=557065873264","auctionPic":"//img.alicdn.com/bao/uploaded/null_40x40.jpg","sku":"颜色分类:黑色","title":"","aucNumId":"557065873264"},"award":"","rate":"1","creditFraudRule":0,"appendCanExplainable":false,"from":"","tag":"","propertiesAvg":"0.0","reply":null,"dayAfterConfirm":0,"lastModifyFrom":0,"bidPriceMoney":{"amount":499,"centFactor":100,"cent":49900,"displayUnit":"元","currency":{"symbol":"￥","displayName":"人民币","currencyCode":"CNY","defaultFractionDigits":2,"numericCode":156},"currencyCode":"CNY"},"noQna":true,"promotionType":"活动促销  ","vicious":"","enableSNS":false,"appendList":[],"buyAmount":1,"showCuIcon":true,"serviceRate":null,"useful":0,"user":{"nick":"天***云","vipLevel":6,"displayRatePic":"b_blue_4,3,颜色分类:黑色,非常好
2018年02月16日 19:13,b_red_3,2193,颜色分类:黑色,丰常棒的玩意儿，功能很全。孩子很喜欢，有了它，孩子电视都不看了！
2018年02月12日 18:17,b_blue_1,52,颜色分类:白色,第二个天猫精灵，这是替朋友买的。见我用他就让我给他买一个。顺丰发货，很快，年前让他用上了。
2018年02月08日 21:23,b_blue_4,252,颜色分类:黑色,宝贝真的很好！非常的棒！小朋友也非常的喜欢！
2018年02月10日 23:01,b_blue_1,2052,颜色分类:黑色,黑色很有质感，家里多了个会说话的小精灵??♀?
2018年02月07日 18:21,b_red_3,331,颜色分类:黑色,特别适合家里老人，想听老歌直接说，买了2个送人了
2018年02月16日 19:14,b_blue_3,49,颜色分类:白色,买来送给好朋友的，有优惠价格合理，朋友很喜欢，值得购买。
2018年02月07日 12:22,b_blue_2,815,颜色分类:黑色,说好顺丰包邮的给我发了韵达！精灵测试无问题，非常满意！音质和感应效果都很好！
2018年02月09日 22:05,b_red_5,153,颜色分类:黑色,东西收到了，非常不错，物流也及时，东西音质和功能都非常好，服务态度也好，下次还会再来
2018年02月13日 11:57,b_blue_1,487,颜色分类:白色,反应很灵敏，特别好玩。功能特别强大
2018年02月11日 19:30,b_blue_3,1386,颜色分类:白色,全五星，天猫精灵很灵敏，黑豆也很强大，有遥控的家电都能控制，客服可也很好哦。
2018年02月13日 09:18,b_red_4,91,颜色分类:黑色,非常好用，爸妈用家乡话它也能听懂
2018年02月09日 20:01,b_red_4,131,颜色分类:白色,造型好看，很高兴这次购物，不错。
2018年02月10日 12:02,b_red_4,136,颜色分类:白色,东西很棒 物流顺丰服务好 送侄女。特别喜欢
2018年02月18日 11:10,b_blue_1,330,颜色分类:白色,很好耍，就是朋友都只花了99，还有有时候会莫名其妙触发它
2018年02月12日 10:21,b_blue_1,318,颜色分类:白色,不错啊~懒癌晚期值得拥有。
